country_name,country_code,continent,area_km2,pm25_trend_ug_m3_per_year,pm25_trend_std,pm25_trend_median,pm25_trend_min,pm25_trend_max,pixel_count,pct_increasing,pct_decreasing
Peru,PER,South America,2872415.0,0.016258843082534637,0.00790670888582644,0.01688838275271147,-0.009195504108173175,0.04524402814911418,2138,97.9,2.1
Algeria,DZA,Africa,4602785.0,0.01624788521824685,0.015757826528089523,0.013484167110319936,-0.02774785793252931,0.10415458942576378,4236,89.2,10.8
Armenia,ARM,Asia,90284.0,0.016213074541921526,0.009937692544614657,0.016193714605271376,-0.0038508174364448883,0.03607114918065209,56,92.9,7.1
Kyrgyzstan,KGZ,Asia,534536.0,0.015537766672119969,0.008891896049705814,0.015127367694886654,-0.010611584095955858,0.03819875393379122,418,97.4,2.6
Sudan,SDN,Africa,2795024.0,0.015370689066145022,0.010961765150960921,0.014548776004300212,-0.025960071976172873,0.07412185007846744,3112,94.2,5.8
Tajikistan,TJK,Asia,392114.0,0.014615720557714602,0.014699612128534711,0.008524508158188874,-0.0003762514038540601,0.06583478343917455,279,99.6,0.4
Solomon Is.,SLB,Oceania,307659.0,0.01431391192274992,0.0015215117336233196,0.01432968723528013,0.009706817617799233,0.017191236982092534,40,100.0,0.0
Honduras,HND,North America,230981.0,0.014082299730705898,0.016423152455074627,0.009634175640300856,-0.020856975535447724,0.06502563545519718,190,75.3,24.7
Nigeria,NGA,Africa,1409542.0,0.01260685351299234,0.01923040874994019,0.014183181459118874,-0.06196315482056614,0.06617907541567697,1475,77.0,23.0
Venezuela,VEN,South America,1909075.0,0.012024352078053338,0.008910324417053191,0.011175512036225384,-0.011711106128559667,0.04206110503489,1483,93.9,6.1
Vietnam,VNM,Asia,1302303.0,0.011932546684976598,0.012080347845025758,0.013530999037942335,-0.020815872448927464,0.040800020064354306,571,79.2,20.8
Ecuador,ECU,South America,447919.0,0.011800117600340214,0.004514572082496679,0.011681900366391405,-0.005443241466271041,0.02591431950131157,403,99.3,0.7
Myanmar,MMR,Asia,2012747.0,0.011133162154601257,0.01847285540756263,0.009343593097058537,-0.0380633292758064,0.06312656808468657,1166,72.1,27.9
Thailand,THA,Asia,1490232.0,0.010243958345586382,0.009034195611078133,0.008402824076086739,-0.009628153262491243,0.0444361502324669,855,93.2,6.8
Côte d'Ivoire,CIV,Africa,460391.0,0.009980595284003458,0.00983604483418099,0.010444211618366008,-0.008631427457767248,0.04208707653405463,537,83.1,16.9
Panama,PAN,North America,168608.0,0.009857091364039205,0.004183919939998698,0.008918193628867628,0.0022105230528976926,0.020636244899016627,127,100.0,0.0
Malaysia,MYS,Asia,1448152.0,0.009845552505677653,0.008263089446145983,0.008931614136069198,-0.00817594407842987,0.036957698827263116,546,91.0,9.0
Chile,CHL,South America,4069458.0,0.009743926631782963,0.010471004073630209,0.00867326628846955,-0.017196168451179356,0.040939556695014936,1703,74.0,26.0
Guyana,GUY,South America,426040.0,0.009573679161639256,0.005638135214059433,0.009876800319824838,-0.006402745353664307,0.018749388306556772,341,93.0,7.0
South Africa,ZAF,Africa,2585198.0,0.009357162991207915,0.008873100837462011,0.008667874495805633,-0.013782558886236139,0.05679063774356333,2239,88.1,11.9
Namibia,NAM,Africa,1990987.0,0.00913407365537367,0.004837129400707643,0.00877533831597235,-0.003649503000558597,0.04101175918047412,1447,98.5,1.5
Sierra Leone,SLE,Africa,121200.0,0.00867460709930941,0.006780427808981654,0.009831145441326619,-0.00488835134209953,0.022106178236233884,125,84.0,16.0
Brazil,BRA,South America,18870073.0,0.008614964782301986,0.014129860109411856,0.005979087237830557,-0.051349788315072746,0.04781758284618069,14086,77.0,23.0
Togo,TGO,Africa,120095.0,0.008364995711169868,0.009457068127973091,0.008819713364580529,-0.01290471438732148,0.0312874087400856,94,79.8,20.2
Bolivia,BOL,South America,1953348.0,0.008320806238409903,0.009118320763864336,0.006925331038098572,-0.018458146563335998,0.03659339693516011,1829,84.8,15.2
Costa Rica,CRI,North America,125178.0,0.007963442381012445,0.004625992506255482,0.007550985966721944,-0.0009121978528049179,0.019056774453668972,92,96.7,3.3
Cameroon,CMR,Africa,1031951.0,0.00773215315938147,0.018860728878835793,0.005456299706944311,-0.08002168562825843,0.057586799026776846,753,64.5,35.5
Zimbabwe,ZWE,Africa,632165.0,0.007273502090736883,0.005202368589563607,0.008180310819681562,-0.008683923124440098,0.021347441037122005,640,90.3,9.7
Madagascar,MDG,Africa,1206736.0,0.00719561185827375,0.004490121935405294,0.0069752999608054065,-0.0034777085893759226,0.02201150873746801,1001,98.0,2.0
Chad,TCD,Africa,2038111.0,0.00643867196146628,0.04305855057539185,0.0037339716015038884,-0.08660848704124062,0.4090979560716725,2120,63.8,36.2
Somalia,SOM,Africa,1714760.0,0.006350661226803072,0.007101296153756661,0.004567166054652721,-0.010396230341913016,0.050387994081437446,784,93.9,6.1
Uzbekistan,UZB,Asia,1781354.0,0.006068211074791774,0.025140311048784735,0.0025698138119758423,-0.09621175282696194,0.07355071586121703,992,55.3,44.7
New Zealand,NZL,Oceania,1803595.0,0.005365796332378196,0.0029639765636983737,0.005054960861375144,0.00031453752164608607,0.016555508988745873,590,100.0,0.0
Suriname,SUR,South America,211861.0,0.005177374968213879,0.005113427078071418,0.006284813017887666,-0.010172587825514364,0.015084658499659585,235,80.9,19.1
Russia,RUS,Europe,177861449.0,0.005161965026264348,0.019039606572039274,0.0016454007550757489,-0.09551837305872066,0.07660829298508995,50729,56.2,43.8
Philippines,PHL,Asia,1490982.0,0.005074567363489764,0.008097970017186559,0.0044108884837430334,-0.014194803527201498,0.030490877424993842,482,73.9,26.1
Benin,BEN,Africa,227093.0,0.005070669110193229,0.009585060007875804,0.006804713413294998,-0.016518435140652907,0.028532202695075524,189,71.4,28.6
W. Sahara,ESH,Africa,688802.0,0.004831683047214677,0.03141382148367818,-0.00042828127608764426,-0.0581396274388499,0.07127508777803233,178,48.9,51.1
Mali,MLI,Africa,3013866.0,0.004710383372885325,0.02110320020941991,0.006509116512279987,-0.047455615792986225,0.07668870587180113,2085,58.5,41.5
Laos,LAO,Asia,787752.0,0.004670772691395414,0.013211910461619653,0.0025957773260630104,-0.027780437978337146,0.040049817039124,387,61.0,39.0
Greenland,GRL,North America,17769331.0,0.004570540152863048,0.017747583465988998,0.0006394689116696235,-0.0009976781999199288,0.1129919797663521,2893,87.6,12.4
Norway,-99,Europe,7316684.0,0.0044558204176797615,0.04394198440431953,-0.002949298970654499,-0.02086660960930443,0.2640925968050356,1078,3.6,96.4
Mauritania,MRT,Africa,1911444.0,0.003986319201497369,0.019952321110849894,0.0032397740019473966,-0.0697162529457993,0.12712588324580357,1802,56.0,44.0
Argentina,ARG,South America,8147123.0,0.003942331306718038,0.008815931440650003,0.0022645246631787432,-0.015756684182956327,0.039226815596664716,5537,61.7,38.3
Paraguay,PRY,South America,848467.0,0.003420673751753014,0.003272988687296657,0.003669096856241273,-0.008189400963489529,0.010833453106255796,701,86.9,13.1
Fiji,FJI,Oceania,10055894.0,0.003180251615664642,0.0019066196423376128,0.00290367109344164,-0.0007147111581773253,0.006778351224739385,32,90.6,9.4
Kazakhstan,KAZ,Asia,7418133.0,0.003071220579891988,0.01317990903863281,0.0018508611044210925,-0.12812587397366798,0.05003603451295078,6559,65.7,34.3
Dominican Rep.,DOM,North America,102178.0,0.0030490737102383597,0.00814124292825252,0.0038882045066588097,-0.010774669937214487,0.02016318296337013,82,61.0,39.0
Mozambique,MOZ,Africa,2144350.0,0.0028273592693640885,0.008980334284089625,0.0026957221071058053,-0.014522595281878329,0.07290651467517897,1373,61.8,38.2
Ghana,GHA,Africa,338785.0,0.002787458876863238,0.00926088770097165,0.0023349848726517855,-0.01670942539061931,0.029366455109091506,400,59.2,40.8
Australia,AUS,Oceania,16340797.0,0.002445709712591356,0.004102358722921745,0.0019940016619380612,-0.035255878311062055,0.061743404008357074,13788,71.4,28.6
Tunisia,TUN,Africa,343982.0,0.002222234732723443,0.014150223959219459,0.0006515203403579836,-0.03580563837755335,0.03943159371337392,299,52.2,47.8
Libya,LBY,Africa,2646658.0,0.002170455549751012,0.01345459402509998,0.003111767753953102,-0.05577056315507738,0.05264099314590926,2938,59.5,40.5
Canada,CAN,North America,45238375.0,0.0018707480068480642,0.009727736902922519,0.001073533392887439,-0.032421451557305844,0.24619951054596126,27769,59.9,40.1
Guatemala,GTM,North America,201488.0,0.0017583487598773727,0.023620171538179816,-4.273433869874874e-05,-0.050702194726662514,0.05586246706738188,183,49.7,50.3
Botswana,BWA,Africa,1077109.0,0.0009147678895594151,0.0072696906417957785,0.0016602799126411876,-0.018590782881858708,0.09556674285483822,1023,62.5,37.5
China,CHN,Asia,26654035.0,0.0008548037254121682,0.02875766059402566,-0.0037716639996146924,-0.08530718323939902,0.16982633384277496,18933,39.3,60.7
Iceland,ISL,Europe,400127.0,0.0008278727570146807,0.0009356862632685861,0.0008316999784879053,-0.0016418671348502748,0.003287690695719562,410,81.2,18.8
Morocco,MAR,Africa,2808387.0,-0.0006247095257803464,0.017005790902753327,-0.0033688949869152057,-0.058948553687022245,0.06472067799369088,1094,37.8,62.2
Azerbaijan,AZE,Asia,247670.0,-0.0008349440693253674,0.011806909177560214,0.000912718479628853,-0.03822593778130553,0.025333895372245816,193,53.9,46.1
Mongolia,MNG,Asia,4122901.0,-0.001103598129654909,0.011572045882455998,0.0008938765143348696,-0.05007565467189435,0.057246569781752236,3611,52.8,47.2
Burkina Faso,BFA,Africa,518750.0,-0.0013216556689875719,0.006504551500601495,-0.000674693683282067,-0.018970020266144437,0.019096339468179187,447,42.7,57.3
Nicaragua,NIC,North America,238950.0,-0.0018001600854918392,0.007936570726660631,-0.0046417232498660345,-0.009957038663339218,0.027635491727764847,210,26.7,73.3
Georgia,GEO,Asia,204916.0,-0.004097721351979091,0.007930690138550515,-0.003942848296242164,-0.02339541744408811,0.01505412464410917,151,30.5,69.5
Guinea,GIN,Africa,474528.0,-0.004147139353993217,0.013294240353747318,-0.00757407442855582,-0.026245431515930888,0.030392325000179382,388,31.7,68.3
Sweden,SWE,Europe,2180502.0,-0.0051851847116486695,0.004519137070433155,-0.0038517722554981906,-0.02091470271522769,0.0008438274552089518,1579,3.5,96.5
Uruguay,URY,South America,311328.0,-0.006377816938936337,0.002083874070553398,-0.0067162984604923,-0.010688639720277325,0.009729631623397376,339,0.6,99.4
Finland,FIN,Europe,1381922.0,-0.0064168869846721165,0.016939211197855915,-0.008421813070476023,-0.013506368081846378,0.22445561612306125,1262,0.6,99.4
Mexico,MEX,North America,6791354.0,-0.00658566872003316,0.007154013262791631,-0.005782365919920681,-0.048594368826555774,0.0355510830082828,3478,12.2,87.8
South Korea,KOR,Asia,174320.0,-0.007915603879218204,0.004331431065564963,-0.00824642312835152,-0.018805473582048662,0.0031734514624594777,196,4.6,95.4
Senegal,SEN,Africa,323641.0,-0.008985725613981537,0.01724802549031064,-0.008523080380208868,-0.03745956009855521,0.045113274946287356,322,33.5,66.5
